mono_stamp,stereo_stamp,dt,mono_detection_id,stereo_cone_id,u,v,X_mono,Y_mono,X_stereo,Y_stereo,Z_stereo,stereo_color,stereo_confidence,error_x,error_y,error_2d,mono_range,stereo_range,error_range
1757267627.0885391,1757267627.0885391,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.408421516418457,-1.3999377489089966,-0.13049347698688507,3.0,0.9392488598823547,-1.4735982418060303,-0.0498429536819458,1.4744409443194273,1.725038735901947,2.7857350738302036,-1.0606963379282566
1757267627.0885391,1757267627.0885391,0.0,2,3,309,461,0.8876311182975769,1.4095432758331299,2.569317102432251,1.4428272247314453,-0.19591528177261353,0.0,0.9122603535652161,-1.681685984134674,-0.03328394889831543,1.6820153300399117,1.6657434522208387,2.9467169482794073,-1.2809734960585686
1757267627.0885391,1757267627.0885391,0.0,3,0,353,429,1.3060998916625977,1.408082127571106,2.863206624984741,1.4485148191452026,-0.017764698714017868,3.0,0.9456592202186584,-1.5571067333221436,-0.04043269157409668,1.5576315936398706,1.920570801867565,3.2087610317129838,-1.2881902298454189
1757267627.0885391,1757267627.0885391,0.0,4,4,522,309,5.33482027053833,1.3498468399047852,5.966133117675781,1.4096297025680542,0.6900359988212585,0.0,0.909984290599823,-0.6313128471374512,-0.05978286266326904,0.6341371315646247,5.502944103854554,6.130399683233536,-0.6274555793789824
1757267627.0885391,1757267627.0885391,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.0829877853393555,-1.4345415830612183,0.7502468824386597,1.0,0.9067860841751099,-0.6050114631652832,0.004990935325622559,0.6050320487352893,5.661434415476438,6.249851994257111,-0.5884175787806729
1757267627.0885391,1757267627.0885391,0.0,6,6,876,394,1.7511073350906372,-1.3933608531951904,3.055917263031006,-1.3511203527450562,0.042618278414011,3.0,0.9054579734802246,-1.3048099279403687,-0.04224050045013428,1.3054934729557355,2.2378184390662845,3.3412806715528762,-1.1034622324865917
1757267627.0885391,1757267627.0885391,0.0,7,7,723,276,8.945454597473145,-1.298085331916809,8.79948616027832,-1.306803584098816,1.4990222454071045,1.0,0.875775158405304,0.14596843719482422,0.008718252182006836,0.14622856279881988,9.039147276396761,8.895993047003984,0.14315422939277767
1757267627.0885391,1757267627.0885391,0.0,8,8,672,261,12.38636302947998,-0.5598365068435669,12.263082504272461,-0.620936393737793,2.383234739303589,1.0,0.8389838933944702,0.12328052520751953,0.061099886894226074,0.1375910028814714,12.399008267295544,12.278792876812501,0.1202153904830432
1757267627.0885391,1757267627.0885391,0.0,9,9,544,260,12.845402717590332,2.291430950164795,13.584023475646973,2.649035692214966,2.6529839038848877,0.0,0.8222640156745911,-0.7386207580566406,-0.3576047420501709,0.8206349832714517,13.048180975770157,13.839909099613223,-0.7917281238430665
1757267627.0885391,1757267627.0885391,0.0,11,11,565,278,8.762043952941895,1.3110042810440063,9.106924057006836,1.408931016921997,1.5251796245574951,0.0,0.7926336526870728,-0.3448801040649414,-0.09792673587799072,0.358513502925012,8.859579361245167,9.215267353177264,-0.355687991932097
1757267627.121799,1757267627.121799,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.226067543029785,1.4380425214767456,-0.18683010339736938,3.0,0.9311702847480774,-0.5521037578582764,-0.0243837833404541,0.5526419531045617,2.19102391177614,2.6501590517751685,-0.45913513999902866
1757267627.121799,1757267627.121799,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.3935649394989014,-1.389005422592163,-0.12968851625919342,3.0,0.9393585324287415,-1.4587416648864746,-0.0607752799987793,1.4600071505080698,1.725038735901947,2.767397547080797,-1.04235881117885
1757267627.121799,1757267627.121799,0.0,2,3,309,461,0.8876311182975769,1.4095432758331299,2.5677428245544434,1.4444071054458618,-0.19579525291919708,0.0,0.9121525287628174,-1.6801117062568665,-0.034863829612731934,1.6804733952421338,1.6657434522208387,2.946118649904196,-1.2803751976833573
1757267627.121799,1757267627.121799,0.0,3,0,352,428,1.3219445943832397,1.4197946786880493,2.883516788482666,1.4587898254394531,-0.01789071410894394,3.0,0.9445693492889404,-1.5615721940994263,-0.03899514675140381,1.5620590062013213,1.939936710372266,3.231522369451751,-1.291585659079485
1757267627.121799,1757267627.121799,0.0,4,4,522,309,5.33482027053833,1.3498468399047852,5.966621398925781,1.4097450971603394,0.6900924444198608,0.0,0.9076827168464661,-0.6318011283874512,-0.0598982572555542,0.6346341206190454,5.502944103854554,6.130901414725788,-0.627957310871234
1757267627.121799,1757267627.121799,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.101840019226074,-1.433132529258728,0.7525720596313477,1.0,0.905285656452179,-0.623863697052002,0.0035818815231323242,0.623873979562089,5.661434415476438,6.267880061603634,-0.6064456461271961
1757267627.121799,1757267627.121799,0.0,6,6,876,394,1.7511073350906372,-1.3933608531951904,3.048574447631836,-1.3478738069534302,0.04251587390899658,3.0,0.9051306843757629,-1.2974671125411987,-0.045487046241760254,1.2982642179085873,2.2378184390662845,3.3332521600120333,-1.0954337209457488
